init_preserve,cluster_sim,min_merge,flush_interval,total_time_s,num_centroids,recall
,0.4,,128,0.42791500000748783,0,0.0
,0.4,,256,0.2097333000274375,0,0.0
,0.4,,512,0.19191689998842776,0,0.0
,0.4,0.6,128,0.20381259999703616,0,0.0
,0.4,0.6,256,0.2043062000302598,0,0.0
,0.4,0.6,512,0.3336179000325501,0,0.0
,0.4,0.8,128,0.227032299968414,0,0.0
,0.4,0.8,256,0.20067890000063926,0,0.0
,0.4,0.8,512,0.1853838000097312,0,0.0
,0.6,,128,0.18244559998856857,0,0.0
,0.6,,256,0.16835369996260852,0,0.0
,0.6,,512,0.18075040000258014,0,0.0
,0.6,0.6,128,0.17616249999264255,0,0.0
,0.6,0.6,256,0.1672835000208579,0,0.0
,0.6,0.6,512,0.21010199998272583,0,0.0
,0.6,0.8,128,0.22394560003886,0,0.0
,0.6,0.8,256,0.22092670004349202,0,0.0
,0.6,0.8,512,0.20860029995674267,0,0.0
,0.8,,128,0.20445249998010695,0,0.0
,0.8,,256,0.1748278000159189,0,0.0
,0.8,,512,0.192792100016959,0,0.0
,0.8,0.6,128,0.21028140000998974,0,0.0
,0.8,0.6,256,0.21597799996379763,0,0.0
,0.8,0.6,512,0.19162290001986548,0,0.0
,0.8,0.8,128,0.20122300001094118,0,0.0
,0.8,0.8,256,0.2151499000028707,0,0.0
,0.8,0.8,512,0.21723239996936172,0,0.0
2,0.4,,128,0.2358062999555841,0,0.0
2,0.4,,256,0.1898522000410594,0,0.0
2,0.4,,512,0.18305759999202564,0,0.0
2,0.4,0.6,128,0.20238959998823702,0,0.0
2,0.4,0.6,256,0.1865010000183247,0,0.0
2,0.4,0.6,512,0.21722330001648515,0,0.0
2,0.4,0.8,128,0.20804950001183897,0,0.0
2,0.4,0.8,256,0.20069129997864366,0,0.0
2,0.4,0.8,512,0.20317599998088554,0,0.0
2,0.6,,128,0.19440839998424053,0,0.0
2,0.6,,256,0.18792619998566806,0,0.0
2,0.6,,512,0.18549419997725636,0,0.0
2,0.6,0.6,128,0.20221309998305514,0,0.0
2,0.6,0.6,256,0.19917559996247292,0,0.0
2,0.6,0.6,512,0.18626919999951497,0,0.0
2,0.6,0.8,128,0.18035169999348,0,0.0
2,0.6,0.8,256,0.18039789999602363,0,0.0
2,0.6,0.8,512,0.18680219998350367,0,0.0
2,0.8,,128,0.1816126000485383,0,0.0
2,0.8,,256,0.24358199996640906,0,0.0
2,0.8,,512,0.19134449999546632,0,0.0
2,0.8,0.6,128,0.18903189996490255,0,0.0
2,0.8,0.6,256,0.1883155000396073,0,0.0
