prompt,bleu4,rougeL,len_on,len_off
"In 100 words, explain the significance of manifold partitioned KV memories.",0.2470361297106629,0.41860465116279066,415,387
Briefly summarize how centroid compression can help long-context transformers.,0.3241234978220636,0.42519685039370075,447,451
